A comienzos de la década de 1980, se trasladó a Los Ángeles, en California, donde comenzó a labrarse una reputación con sus actuaciones, tanto eléctricas como acústicas.	labrarse	construir	crear	formar	establecer	desarrollar	diseñar	perfeccionar	elaborar	generar	fortalecer
A lo largo de sus más de veinte años de experiencia en el medio, ha presentado todo tipo de programas, no sólo informativos, sino también divulgativos, de entrevistas, tertulias e incluso concursos.	tertulias	interviews	debate	conversación	discusión	reunión	encuentro	entrevista	dialogo	debate	conferencia
A pesar de las pocas bajas (menos de 500 en total) y de los inconclusos resultados tácticos, Valmy fue considerada como una de las quince batallas decisivas del mundo, porque una derrota francesa hubiera propiciado la decadencia de la Revolución francesa.	propiciado	causó	generó	derivó	consecuente	desencadenó	originó	motivó	facilitó	incentivo	provocó
A pesar de las pocas bajas (menos de 500 en total) y de los inconclusos resultados tácticos, Valmy fue considerada como una de las quince batallas decisivas del mundo, porque una derrota francesa hubiera propiciado la decadencia de la Revolución francesa.	decadencia	deterioro	descenso	degradación	falta	pérdida	disolución	ruina	desintegración	desmoronamiento	destrucción	decay
Al igual que otros municipios cercanos a Toledo, la población se originó a partir de los caseríos que utilizaban los vecinos de la capital en las épocas de labor.	caseríos	casas	villas	edificios	domicilios	habitaciones	parcelas	zonas	localidades	viviendas	inmuebles
Al principio, su trabajo se centró en la fonología, pero más tarde derivó hacia un estructuralismo heredero de Ferdinand de Saussure, pero llevando sus postulados hasta sus últimas consecuencias.	postulados	posturas	principios	ideas	teorías	fundamentos	conceptos	argumentos	premisas	consideraciones	leyendas
Alberto Oliveras (Barcelona, octubre de 1929 - París, 13 de octubre de 2010) fue un periodista español célebre por sus programas de radio, especialmente el que llevaba por título "Ustedes son formidables" que estaba dedicado a la recaudación de fondos para causas sociales.	célebre	conocido	famoso	popular	reconocido	destacado	admirado	icónico	emblemático	prominente	famoso
Alberto Oliveras (Barcelona, octubre de 1929 - París, 13 de octubre de 2010) fue un periodista español célebre por sus programas de radio, especialmente el que llevaba por título "Ustedes son formidables" que estaba dedicado a la recaudación de fondos para causas sociales.	recaudación	donación	financiamiento	ayuda	subvención	donación	recaudación	inversión	generosidad	apoyo	beneficio
Allston es un vecindario (municipio) de Boston, en los Estados Unidos, ubicado en la parte occidental de la ciudad	vecindario	barrio	localidad	población	distrito	sector	zona	comunidad	asentamiento	enclave	lugar
Aparece como productor y remezclador de notables artistas en el panorama internacional como Madonna, Kylie Minogue, Missy Elliott, The Killers, Gwen Stefani, Seal, Keane, Pet Shop Boys, Take That, Scissor Sisters y Frankmusik.	remezclador	productor	mezclante	ecualizador	ingeniero de sonido	manipulador	remixador	remasterizador	editor	productor musical	mezclador
Apareció por primera vez en "Tekken 3" sorprendiendo a los fanáticos del "Tekken", pues Mokujin tiene la capacidad de mimetizar las técnicas de todos los personajes (mojukin-ken).	mimetizar	copiar	imitar	replicar	emular	adoptar	transponer	reproducir	adaptar	transformar
Así, fue creado ""P.T. Barnum's Great Traveling Museum, Menagerie, Caravan, and Hippodrome"", que fue el verdadero principio del continuo funcionamiento de la encarnación actual del circo.	encarnación	forma	tipo	modelo	versión	ejemplo	replica	continuación	reproducción	adaptación	derivada
Asistió al presitigioso Rose Bruford College of Speech and Drama en Londres.	presitigioso	prestigioso	reconocido	famoso	destacado	prestigioso	influyente	célebre	reconocido	de renombre	destacado
Atafu, antiguamente conocida como "Grupo del Duque de York" es un grupo de islotes de coral en Tokelau en el sur del océano Pacífico.	islotes	islas	peceras	arrecifes	isla	archipiélago	península	tierra	zonas	grupos	poblaciones
Aunque indispuesto, Mantaro (Kid Músculo) es uno de los jóvenes héroes que forma parte de ello y termina derrotando a su padre para poderse graduar.	indispuesto	enfermo	dolido	inactivo	ausente	absent	descapacitado	enfermo	unavailable	indisponible
Auriga de Delfos es la denominación historiográfica de una obra maestra de la escultura griega del denominado estilo severo (transición entre la escultura arcaica y la clásica).	historiográfica	histórica	artística	esculpida	obra	pieza	figura	modelo	ejemplo	referencia	reconocimiento
Bajo el lema ""Si vives el Carnaval, las Prisillas te entrarán"", "Pedaleros" e "Imposibles" invitan a las demás peñas y a cualquier particular que lo desee a participar en el acto que año tras año se va consolidando con su toque de humor inteligente, crítica burlesca, improvisación y "pitorreo".	burlesca	sarcástica	irónica	humorística	paródica	juguetona	cómica	burla	ridicula	teatral	comedia
Bajo el lema ""Si vives el Carnaval, las Prisillas te entrarán"", "Pedaleros" e "Imposibles" invitan a las demás peñas y a cualquier particular que lo desee a participar en el acto que año tras año se va consolidando con su toque de humor inteligente, crítica burlesca, improvisación y "pitorreo".	pitorreo	humor	burla	improvisación	juguetón	carnaval	danza	música	fiesta	recreación	diversión
Basada en la novela de Alice Hoffman de título homónimo.	homónimo	nombre	título	epítome	ejemplo	referencia	analogía	similar	equivalente	identidad	coincidencia
Cabrini hizo su debut en el fútbol profesional con U.S. Cremonese en la temporada de 1973-1974 de la Serie C, totalizando 3 presencias y ganando el jersey de titular para la siguiente temporada de 1974-1975.	debut	inicio	presentación	primera aparición	estreno	entrada	debutante	debut	presentación oficial	inicio profesional
Cada vez que ella decía algo se burlaban y cuchicheaban cosas sobre ella.	cuchicheaban	murmuraban	jugueaban	acusaban	recriminaban	insinuaban	discutieron	se burlaron	se mofaron	se rieron	se burlaban
Calculando el territorio que los ejércitos convergentes de los aliados occidentales y la URSS podían tomar, la Conferencia de Yalta determinó las líneas de demarcación para las respectivas zonas de ocupación.	demarcación	línea	frontera	limites	región	sector	zona	espacio	área	territorio	distinción
Casi siempre de forma circular, acorazonada u ovalada, macizo o calado, ubicado en la parte delantera central, sujeta por medio de cadenas que surgen del centro un cinturón ancho de cuero, adornado con apliques de metal, o también con monedas de la época, como por ejemplo los patacones, hechos de oro, plata u otros materiales, según el poder económico de su dueño.	apliques	decoraciones	detalles	ornamentos	adornos	embellishments	relieves	inserciones	elementos	pinturas	grabados
Castellanos debutó como El Salvaje, después de haber sido entrenado por Rey Mysterio, Sr. y su hermano, Fobia; haciendo equipo con su hermano.	debutó	comenzó	debutó	presentó	iniciò	entró	se presentó	saltó al escenario	desempeñó	participó	tomó el relevo
Cobisa es un municipio español de la provincia de Toledo en Castilla-La Mancha.	municipio	pueblo	ciudad	localidad	villa	asentamiento	lugar	población	centro	comunidad	entorno
Cofundador de la revista literaria y cultural Altazor (1993) de El Puerto de Santa María, en la que participan autores como el dramaturgo Juan García Larrondo, y poetas como Juan Carlos Arniz Sanz, Andrés Hernández o Julio Rivera Cross y Presidente de la Asociación Cultural del mismo nombre.	dramaturgo	autor	escritor	poeta	director	actor	personaje	protagonista	dibujante	ilustrador	redactor
Comenzó su carrera musical como acompañante de diversas bandas de extracción popular hasta que en 1986 crea Dosis, un grupo con orientación pop bailable en el cual canta y toca teclados y guitarra, ejecutando un repertorio basado exclusivamente en temas de su autoría.	repertorio	canciones	obras	música	lista	discografía	catálogo	colección	programa	conjunto	álbum
Como cantante eligieron a una joven de poderosa voz y enorme carisma, Vicky Larraz.	carisma	personalidad	talento	carisma	atractivo	popularidad	estilo	capacidad	habilidad	charisma	presencia
Como la gran mayoría de los magos, Nathaniel es hijo de plebeyos que lo "cedieron" al Gobierno para que fuera educado como hechicero, la clase dirigente del Imperio, a cambio de algo de dinero.	hechicero	brujo	mago	sorcerer	encantador	hechicero	poción	alquimista	místico	curandero	sacerdote
Como substitución se realizó un puente pedestre de 60 metros durante el gobierno de la República Democrática Alemana (RDA).	substitución	reemplazo	cambio	modificación	construcción	adaptación	reforma	mejoría	reemplazo	intervención	actuación
Con claras influencias del Círculo Lingüístico de Praga, pretendían crear un foro de estudio para lingüistas que propiciara la investigación en este campo.	foro	grupo	espacio	lugar	ambiente	espacio de encuentro	taller	conferencia	reunión	mesa	red	club
Con claras influencias del Círculo Lingüístico de Praga, pretendían crear un foro de estudio para lingüistas que propiciara la investigación en este campo.	propiciara	promover	facilitar	incentivar	fomentar	ayudar	apoyar	estimular	generar	crear	encontrar
Con él actúa con asiduidad gracias a la Secretaría de Cultura que los lleva por toda la provincia, llegando a juntar más de 1000 personas en febrero de 1988 en cada una de las 6 noches en la cúpula destinada al Rock en la 1.	asiduidad	frecuente	habitual	regular	constante	repetitivo	continuado	habitual	consistencia	abundancia	cantidad
