ao prever a distribuição gratuita de uniforme para alunos da rede pública um projeto em discussão no congresso institui uma controvérsia em escolas prefeituras e secretarias de educação	controvérsia	discordância	conflito	debate	disputa	dúvida	polêmica	oposição	divergência	questão	impasse	
a matéria ainda precisa passar pela câmara dos deputados e pela presidência da república antes de entrar em vigor	matéria	assunto	tema	proposta	conteúdo	questão	pauta	texto	discussão	deliberação	item	
o acessório polêmico entrou no projeto de autoria do senador cícero lucena psdbpb graças a uma emenda aprovada na comissão de educação do senado em outubro	polêmico	controverso	discutido	debatido	questionável	problemático	delicado	sensível	divergente	contestável	divisivo	
toda a operação teria sido armada para vingar a morte de um companheiro em um atentado a bomba	armada	planejada	organizada	preparada	orquestrada	montada	estruturada	arranjada	articulada	executada	realizada	
blitze barreiras e operações em profusão foram insuficientes para conter um crescimento de 1112 em relação a março de 2006	profusão	abundância	excesso	quantidade	grandeza	fartura	riqueza	multidão	plenitude	superabundância	afluência	
o subcomandantegeral da bm coronel paulo roberto mendes reconheceu que o incremento nos roubos pode estar ligado a deficiências nas manobras adotadas	incremento	aumento	crescimento	melhoria	elevação	expansão	avanço	progresso	desenvolvimento	intensificação	ampliação	
diferentemente de outros pleitos as legendas este ano são obrigadas a driblar novas regras eleitorais desgaste da imagem da classe política e projetos nacionais envolvendo líderes gaúchos	desgaste	deterioração	declínio	erosão	enfraquecimento	abatimento	desgaste físico	desgaste moral	desgaste psicológico	redução	perda	
para os analistas políticos a indecisão eleitoral de 2006 é fruto de uma confluência de fatores	fruto	resultado	consequência	efeito	resultado final	produto	origem	desdobramento	resultado direto	reflexo	derivado	
os partidos estão mais cautelosos	cautelosos	cuidadosos	prudentes	atentos	vigilantes	precavidos	reservados	moderados	discretos	prevenidos	cuidadosos
o relatório produzido pela comissão criada para revisar processos administrativos da assembléia legislativa destaca temas que devem provocar polêmica no parlamento	revisar	examinar	analisar	verificar	avaliar	inspecionar	checar	estudar	revisar novamente	observar	ajustar	
um deles se refere ao fato de cada deputado ter três carros cadastrados para fins de indenização por uso de carro particular	cadastrados	registrados	inscritos	listados	anotados	arquivados	catalogados	incluídos	documentados	relacionados	designados	
antunes vai apresentar o conteúdo do relatório hoje à mesa diretora e posteriormente implementar novas medidas de contenção e controle	contenção	controle	limitação	redução	restrição	moderação	regulação	freio	supressão	abrandamento	contenimento	
viagens de carro ficam mais agradáveis quando os ocupantes podem fazer algo mais do que apreciar a paisagem	ocupantes	passageiros	viajantes	pessoas	indivíduos	tripulantes	moradores	usuários	habitantes	frequentadores	clientes	
uma arena suspensa com estacionamento subterrâneo e capacidade entre 45 e 50 mil espectadores	espectadores	público	plateia	assistentes	torcedores	visitantes	fãs	observadores	frequentadores	presentes	testemunhas	
apesar das boas intenções a organização das nações unidas para a educação a ciência e a cultura unesco tratou de se desvincular da escolha	desvincular	separar	desligar	distanciar	afastar	romper	desatar	desconectar	liberar	soltar	desassociar	
plácido domingo lembrou o maravilhoso senso de humor do parceiro italiano capaz de proporcionar momentos tão divertidos nos concertos dos três tenores que nós nos esquecíamos de que estávamos cantando para um público que pagará	proporcionar	oferecer	fornecer	garantir	disponibilizar	entregar	possibilitar	facilitar	propiciar	ceder	conceder	
o regente indiano zubin mehta um dos principais colaboradores do tenor destacou que luciano tinha uma aura especial emanava sensações positivas	emanava	saía	transmitia	irradiava	exalava	projetava	expelia	liberava	difundia	produzia	espalhava	
ele ressalta que o próximo trânsito ocorrerá somente em 9 de maio de 2016	ressalta	destaca	enfatiza	sublinha	aponta	salienta	menciona	frisa	realça	observa	indica	
para evitar um novo desgaste político a administração federal não pretende influir ao menos por enquanto para que os senadores do pmdb contrários à cpmf sejam substituídos na ccj	desgaste	desgaste	prejuízo	dano	abatimento	cansaço	erosão	enfraquecimento	desgaste físico	declínio	desgaste emocional	
começamos a encaminhar em novembro de 2005 e só na metade do ano passado acertamos tudo e eles começaram a confeccionar o produto afirma a coordenadora	confeccionar	fazer	produzir	criar	fabricar	montar	elaborar	preparar	desenvolver	costurar	montar	
é difícil parar com a depredação	depredação	destruição	vandalismo	danificação	estrago	devastação	dano	saque	arruinamento	quebra	ruína	
as bolsas podem cair o que não vai cair é a economia venezuelana que está pujante como nunca disse	pujante	forte	vigorosa	próspera	robusta	potente	desenvolvida	ativa	florida	dinâmica	rica	
a principal celebração na comunidade judaica da capital ocorrerá amanhã no clube campestre macabi	celebração	festa	comemoração	evento	cerimônia	homenagem	solenidade	reunião	encontro	culto	atividade	
os donos argumentam que seus mascotes são limpos e saudáveis	argumentam	defendem	alegam	afirmam	dizem	proclamam	explicam	justificam	declaram	asseveram	contam	
o próprio ban kimoon que está no timor leste prometeu voltar a bali hoje para acompanhar de perto o diálogo e se necessário intervir para um acerto	intervir	agir	entrar	mediar	participar	ajudar	colaborar	negociar	interceder	auxiliar	influenciar	
o anúncio foi feito pelo pontífice durante uma audiência geral na qual o papa informou que vai realizar uma nova assembléia de cardeais chamada de consistório	pontífice	papa	líder	chefe	bispo	patriarca	autoridade	religioso	clerical	mentor	guia	
a musculação do dólar e a expectativa de maior preço dos grãos representam âncoras para enfrentar águas turbulentas	turbulentas	agitadas	instáveis	tempestuosas	confusas	caóticas	difíceis	movimentadas	perigosas	complicadas	desafiadoras	
depois de perder um quarto da receita nas vendas ao exterior dos últimos dois anos os moveleiros também espreitam chances de recuperar rentabilidade com um dólar entre r 210 e r 215 segundo maristela cusin longhi presidente da associação das indústrias de móveis do estado do rio grande do sul	espreitam	observam	procuram	buscam	aguardam	esperam	analisam	monitoram	vigilam	investigam	acompanham	
depois de perder um quarto da receita nas vendas ao exterior dos últimos dois anos os moveleiros também espreitam chances de recuperar rentabilidade com um dólar entre r 210 e r 215 segundo maristela cusin longhi presidente da associação das indústrias de móveis do estado do rio grande do sul	rentabilidade	lucro	ganho	retorno	resultado	benefício	proveito	vantagem	rendimento	receita	compensação	
nas contas de antônio salton presidente da união brasileira de vitivinicultura uvibra a dose de importados no consumo nacional pode reduzir de 70 para 60 caso o dólar se mantenha acima de r 210	reduzir	diminuir	baixar	cortar	enxugar	aliviar	abreviar	encurtar	amenizar	limitar	restringir	
a expectativa está em torno do nome do deputado joão henrique blasi pmdb que foi o postulante mais votado pelo conselho da ordem dos advogados do brasil	postulante	candidato	concorrente	pretendente	aspirante	interessado	inscrito	competidor	proponente	solicitante	requerente	
o nosso é brasileiro colorido é um menino alegre com pontos de melancolia	melancolia	tristeza	saudade	desânimo	nostalgia	abatimento	angústia	depressão	desgosto	pesar	descontentamento	
amarrado a uma árvore à mercê de centenas de abelhas o cavalo de um brigadiano tentou se desvencilhar com coices e corcoveadas das ferroadas que o mataram em 40 minutos ontem de manhã na redenção	ferroadas	picadas	agulhadas	mordidas	picadelas	punções	ferimentos	pancadas	arranhões	perfurações	golpes	
o animal deu alguns passos e começou a verter sangue pela boca	verter	sangrar	escorrer	derramar	gotejar	vazar	transbordar	exsudar	pingar	fluírem	extravasar	
volmar geraldo da silva nunes próreitor em exercício de extensão e cultura da ufpel afirma que a instituição apenas atendeu às reivindicações dos colegas do norte	reivindicações	pedidos	demandas	solicitações	requerimentos	propostas	reclamações	sugestões	pleitos	necessidades	requisições	
o banco central chinês aumentou recentemente o depósito compulsório à vista dos bancos retirando dinheiro de circulação para evitar especulação com ações uma das principais formas de investimento no país	compulsório	obrigatório	necessário	imposto	mandatório	essencial	fixo	forçado	requerido	demandado	estipulado	
o recuo generalizado dos mercados foi utilizado pelo presidente do banco central henrique meirelles em defesa de uma atitude de prudência na condução da política econômica	prudência	cautela	cuidados	precaução	moderação	sensatez	deliberação	discrição	vigilância	atenção	ponderação	
ao prever a distribuição gratuita de uniforme para alunos da rede pública um projeto em discussão no congresso institui uma controvérsia em escolas prefeituras e secretarias de educação	institui	cria	estabelece	inicia	propõe	introduz	implementa	determina	organiza	lança	provoca	
além de ressuscitar o debate sobre a obrigatoriedade de um traje padrão entre os alunos e reacender a preocupação com a escassez de recursos públicos a proposta cria uma discussão sobre a incorporação do boné no kit obrigatório	ressuscitar	reviver	reanimar	reativar	renovar	reacender	restaurar	reavivar	despertar	reintroduzir	recomeçar	
a divergência ocorre porque educadores como helvécio aguiar da faculdade de educação da universidade federal do rio grande do sul ufrgs afirmam que a peça é desnecessária no uniforme obrigatório	divergência	discordância	diferença	oposição	desacordo	conflito	disputa	controvérsia	incompatibilidade	variação	separação	
professores ainda temem que a distribuição do acessório dificulte a imposição nas classes de uma regra da boa conduta	conduta	comportamento	atitude	postura	ação	modo	procedimento	caráter	prática	costume	disposição	
eles se inquietam com a fonte para custear os gastos milionários com a medida	inquietam	preocupam	afligem	angustiam	ansiam	alarmam	perturbam	agitam	incomodam	temem	sobressaltam	
não fosse o aspecto financeiro o projeto teria o apoio incondicional de balzano e do presidente da famurs flávio luiz lammel	incondicional	sem reservas	total	completo	absoluto	pleno	integral	irrestrito	decidido	inequívoco	resoluto	
o premier classificou o episódio de crime horrível	premier	primeiro-ministro	líder	chefe	governante	autoridade	mandatário	dirigente	executor	presidente	comandante	
considerado culpado de ameaçar com um cachorro sem focinheira um dos detentos e de negligência no cumprimento do dever ele foi rebaixado e condenado ontem por um tribunal militar a 90 dias de trabalho forçado sem confinamento	confinamento	prisão	isolamento	detenção	reclusão	restrição	encarceramento	segregação	limitação	internação	separação	
blitze barreiras e operações em profusão foram insuficientes para conter um crescimento de 1112 em relação a março de 2006	blitze	operações	barreiras	ações	fiscalizações	inspeções	patrulhas	verificações	intervenções	checagens	monitoramentos	
o secretário da segurança pública enio bacci disse que o aumento está ligado à legislação branda contra desmanches ao aumento da frota e ao chamado golpe do seguro quando o dono vende o carro a bandidos e recebe um novo da seguradora mas reconheceu que precisa ajustar a repressão	branda	suave	leve	fraca	flexível	moderada	amena	suportável	tranquila	dócil	simples	
em março o comando de policiamento da capital cpc atingiu 40 do número previsto para fiscalização de veículos enquanto outros comandos regionais como metropolitano sul missões e vale do taquari superaram as metas estipuladas	fiscalização	inspeção	controle	monitoramento	supervisão	verificação	avaliação	exame	observação	checagem	vistoria	
diferentemente de outros pleitos as legendas este ano são obrigadas a driblar novas regras eleitorais desgaste da imagem da classe política e projetos nacionais envolvendo líderes gaúchos	pleitos	eleições	votações	disputas	concursos	escolhas	consultas	processos	seleções	decisões	opções	
a comissão entende que para que seja preservado o caráter de indenização cada parlamentar deve ter apenas um carro registrado	parlamentar	deputado	senador	legislador	representante	congressista	político	autoridade	membro	funcionário	dirigente	
outra questão destacada no relatório se refere à qualificação dos servidores	questão	assunto	tema	problema	ponto	tópico	dúvida	caso	assunto em pauta	enigma	situação	
